iter	Logloss
0	0.6890658217
1	0.6850144737
2	0.6810390184
3	0.6771283964
4	0.6733719697
5	0.6697129281
6	0.6661773774
7	0.6627495643
8	0.6594373287
9	0.6561628627
10	0.6528922776
11	0.6497801742
12	0.6466834488
13	0.6436725348
14	0.640756592
15	0.6379158271
16	0.635222033
17	0.6325162373
18	0.6299368552
19	0.6276563454
20	0.6258320953
21	0.6240733966
22	0.6223098069
23	0.6206043018
24	0.6189316253
25	0.6172786202
26	0.6156526174
27	0.6140914376
28	0.6125757387
29	0.6110681265
30	0.6096120203
31	0.6081596562
32	0.6067456187
33	0.6053842821
34	0.6040566052
35	0.6027383491
36	0.6014482437
37	0.6003064477
38	0.5991584682
39	0.5982061259
40	0.597292999
41	0.5964389721
42	0.5956142314
43	0.5948067611
44	0.5940091713
45	0.5932115164
46	0.5924079744
47	0.5916479715
48	0.5908965538
49	0.5901724906
50	0.5894565135
51	0.5887434964
52	0.5880473939
53	0.5874026487
54	0.5867455449
55	0.5860791702
56	0.5854482715
57	0.5848773787
58	0.584299519
59	0.5838577346
60	0.5833315929
61	0.5828635059
62	0.5824236514
63	0.5820121498
64	0.5815962766
65	0.5812069564
66	0.5808011287
67	0.5803671507
68	0.5799653095
69	0.5795640576
70	0.5791719167
71	0.5788352632
72	0.5784727099
73	0.5781172835
74	0.5777652361
75	0.577410319
76	0.5771134497
77	0.5767709636
78	0.5764512652
79	0.5761240529
80	0.5758009536
81	0.5754920064
82	0.5752561357
83	0.5750418485
84	0.5748001772
85	0.5745550704
86	0.5742910238
87	0.5740193287
88	0.5737688284
89	0.5735455394
90	0.5733015285
91	0.5730525938
92	0.5728820009
93	0.5727079163
94	0.5724754251
95	0.5722803912
96	0.5720314091
97	0.5718482855
98	0.5716057438
99	0.5713986125
100	0.5711895386
101	0.5709790935
102	0.5708102412
103	0.5706241389
104	0.570485548
105	0.5702912271
106	0.5701354667
107	0.5700054399
108	0.569876306
109	0.5696817954
110	0.5695530689
111	0.5693784268
112	0.5692414247
113	0.5691173804
114	0.5689933687
115	0.5688935872
116	0.5687243305
117	0.5685988888
118	0.5684326721
119	0.5682827492
120	0.5681225642
121	0.567993957
122	0.5679024721
123	0.5677387812
124	0.5676178382
125	0.5675024892
126	0.567412014
127	0.567326678
128	0.5672039948
129	0.5670643743
130	0.5669695585
131	0.5668225666
132	0.5666926031
133	0.5665823921
134	0.5664241493
135	0.5663392784
136	0.566230409
137	0.5660935938
138	0.565976379
139	0.565884006
140	0.5657936958
141	0.5656865875
142	0.5655699703
143	0.5654829618
144	0.5654102991
145	0.5653335105
146	0.5652135914
147	0.5651438037
148	0.5650432427
149	0.5649218619
150	0.5648557583
151	0.5647855956
152	0.5646892649
153	0.5646215703
154	0.5645561925
155	0.564455022
156	0.5643925399
157	0.5643060012
158	0.5642414344
159	0.5641417734
160	0.564030053
161	0.5639637696
162	0.5638981013
163	0.5638245302
164	0.5637525316
165	0.5636405294
166	0.563561417
167	0.5634864772
168	0.5634177633
169	0.5633130731
170	0.5632136485
171	0.5631380721
172	0.5630577748
173	0.5629735896
174	0.5629190656
175	0.5628482396
176	0.562788588
177	0.5627120887
178	0.5626423082
179	0.5625745254
180	0.5625146518
181	0.562448521
182	0.5623829636
183	0.5622804823
184	0.5621810563
185	0.5621173203
186	0.5620137195
187	0.5619161994
188	0.5618197094
189	0.5617726832
190	0.5616928909
191	0.5616195955
192	0.5615558659
193	0.561501471
194	0.5614467683
195	0.5613805775
196	0.5613284779
197	0.5612753733
198	0.5611689815
199	0.561065322
200	0.5609695756
201	0.5608956877
202	0.5608486585
203	0.5607860827
204	0.5607069039
205	0.5606509728
206	0.5605991692
207	0.5605468768
208	0.5604935267
209	0.5604411125
210	0.5603823476
211	0.5603192272
212	0.560261997
213	0.5601777571
214	0.5601287571
215	0.5600671792
216	0.5599933856
217	0.5599452704
218	0.5598972667
219	0.5597976264
220	0.5597416681
221	0.5596551938
222	0.5595974894
223	0.5595528359
224	0.5595045011
225	0.5594195182
226	0.5593495311
227	0.559299227
228	0.5592374004
229	0.5591823765
230	0.5591261173
231	0.5590603044
232	0.5590153914
233	0.5589493228
234	0.558877921
235	0.5588282853
236	0.5587839305
237	0.5587273434
238	0.5586497123
239	0.5585990277
240	0.5585238651
241	0.5584659365
242	0.5584256687
243	0.5583396614
244	0.5583019642
245	0.5582498789
246	0.5581885738
247	0.5581404448
248	0.5580497874
249	0.5579856631
250	0.5579360375
251	0.5578648254
252	0.5578138369
253	0.5577446131
254	0.5576686787
255	0.557621145
256	0.5575357526
257	0.5574909809
258	0.557428945
259	0.5573811755
260	0.5573351125
261	0.5572811844
262	0.5572362791
263	0.5571942398
264	0.5571257095
265	0.5570774035
266	0.5570312241
267	0.5569724278
268	0.5569197304
269	0.5568678327
270	0.5568038811
271	0.5567504453
272	0.5567060523
273	0.5566274842
274	0.5565542568
275	0.5565111297
276	0.5564669132
277	0.5564221531
278	0.5563775422
279	0.5563349409
280	0.5562968629
281	0.5562538762
282	0.5562031196
283	0.5561320058
284	0.5560871537
285	0.5560405278
286	0.5559928334
287	0.5559336089
288	0.5558901912
289	0.5558497094
290	0.5557887579
291	0.5557430183
292	0.5556642608
293	0.5556204681
294	0.5555758171
295	0.5554926485
296	0.5554192187
297	0.5553814733
298	0.5553426501
299	0.5553016573
300	0.5552594092
301	0.5552110149
302	0.5551706034
303	0.5551331819
304	0.5550947909
305	0.5550218818
306	0.5549826942
307	0.5549382419
308	0.554897159
309	0.5548335213
310	0.5547783947
311	0.5547243817
312	0.5546625629
313	0.5546234326
314	0.5545786963
315	0.5545367056
316	0.5544923724
317	0.5544011509
318	0.5543368113
319	0.5543031759
320	0.5542255173
321	0.5541464855
322	0.5541057845
323	0.5540307596
324	0.5539856217
325	0.5539509166
326	0.5539104687
327	0.5538491159
328	0.5537732337
329	0.5537235299
330	0.5536705827
331	0.5535976733
332	0.5535258226
333	0.5534890758
334	0.5534508071
335	0.5533787141
336	0.5533420162
337	0.553299765
338	0.5532606387
339	0.5532183073
340	0.5531696178
341	0.5531255341
342	0.5530800042
343	0.5530308715
344	0.5529534454
345	0.5529131071
346	0.5528645089
347	0.55282271
348	0.5527726674
349	0.5527242361
350	0.5526822209
351	0.5526483224
352	0.5525640045
353	0.5524927149
354	0.5524128405
355	0.55237382
356	0.5523393087
357	0.5522629995
358	0.5522250647
359	0.5521781089
360	0.5521057687
361	0.5520631607
362	0.5520249579
363	0.5519531128
364	0.551887749
365	0.5518513863
366	0.5517964918
367	0.5517353945
368	0.5516700734
369	0.5516021648
370	0.5515716256
371	0.5515336959
372	0.5514970186
373	0.5514502278
374	0.5513760095
375	0.5513165097
376	0.5512796221
377	0.5512020524
378	0.5511675552
379	0.5511099272
380	0.5510388724
381	0.5509985561
382	0.5509396058
383	0.5508702278
384	0.5508292555
385	0.5507587588
386	0.5507269727
387	0.5506727039
388	0.550606257
389	0.5505679207
390	0.5505083947
391	0.5504700543
392	0.5504258833
393	0.5503765337
394	0.550336915
395	0.5502961719
396	0.5502578364
397	0.5502130664
398	0.5501773479
399	0.5501403772
400	0.5501082251
401	0.5500740339
402	0.5500142638
403	0.549978052
404	0.5499415464
405	0.5499059021
406	0.549873062
407	0.5498224359
408	0.5497692619
409	0.5497337888
410	0.5496940466
411	0.549626152
412	0.5495854126
413	0.5495484053
414	0.5495113296
415	0.5494431409
416	0.5494080029
417	0.5493592369
418	0.5493091594
419	0.5492732325
420	0.5492085426
421	0.5491569045
422	0.5491163135
423	0.5490801228
424	0.5490122372
425	0.5489780182
426	0.548937287
427	0.5488886825
428	0.548846639
429	0.5487934531
430	0.5487475306
431	0.5486741134
432	0.5486015304
433	0.5485615971
434	0.5485213255
435	0.5484776307
436	0.5484256422
437	0.548389291
438	0.548319887
439	0.5482731548
440	0.5482191801
441	0.548149375
442	0.5481149566
443	0.5480627764
444	0.5480064257
445	0.5479432219
446	0.5479025758
447	0.5478644815
448	0.5478312166
449	0.5477928323
450	0.5477588222
451	0.5477211193
452	0.5476788698
453	0.5476393322
454	0.5475716567
455	0.5474969686
